Brand,Title,Price,Size,Reviews,Stars,Category,Colors 
Sephora Favorites,beauty closet,$99.00,,73 reviews,4.2055,Makeup>Palettes & Value Sets>Value Sets>,
Bobbi Brown,eye smudge brush,$32.00,,1 review,4.0,Makeup>Eye Makeup>Eye Brushes>,
ARDENCY INN,modster manuka honey enriched pigments,$21.00,0.06 oz,86 reviews,4.3488,Makeup>Eye Makeup>Eyeshadow>,Copper|Disco|Heaven|Hell|Orchid|Peacock|Punch|Rose Gold|Royal|Sunday|Tangerine|Vintage Gold
Bite Beauty,line define lip primer,$22.00,0.05 oz,334 reviews,3.6228,Makeup>Lips>Lip Balm & Treatments>,
Givenchy,le rouge limited edition gold,$36.00,0.12 oz,11 reviews,4.4545,Makeup>Lips>Lipstick>,311 Rose Pr&#233;cieux 
Dior,5 colour eyeshadow cosmopolite,$63.00,0.21 oz,1 review,3.0,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,766 Exuberante|866 Eclectic
Urban Decay,brightening tightening complexion primer potion,$31.00,0.94 oz,195 reviews,3.9385,Makeup>Face Makeup>Face Primer>,
CLINIQUE,take the day off cleansing balm,$29.00,3.8 oz,801 reviews,4.6754,Skin Care>Face Wash & Cleanser>,
tarte,powder player bamboo pressed powder brush,$34.00,,19 reviews,4.7368,Makeup>Face Makeup>Face Brushes>,
Peter Thomas Roth,lashes to die for the mascara,$22.00,,426 reviews,4.3568,Makeup>Eye Makeup>Mascara>,Black
Laura Mercier,extra lash sculpting mascara,$25.00,0.3 oz,13 reviews,2.7692,Makeup>Eye Makeup>Mascara>,Black Onyx
BURBERRY,cashmere concealer,$40.00,0.08 oz,4 reviews,4.25,Makeup>Face Makeup>Concealer>,Chestnut No. 10|Honey No. 04|Ivory No. 00|Porcelain No. 01|Warm Honey No. 08|Warm Nude No. 06
BURBERRY,fresh glow luminous fluid base,$48.00,1 oz,17 reviews,4.8824,Makeup>Face Makeup>Face Primer>,Golden Radiance No. 02|Nude Radiance No. 01
Lancôme,grandiose wide angle fan effect mascara,$32.00,0.35 oz,368 reviews,3.9728,Makeup>Eye Makeup>Mascara>,1 |2|6
boscia,green tea blotting linens,$10.00,100 Sheets,1655 reviews,4.5305,Makeup>Face Makeup>Oil Control & Blotting Paper>,100 Sheets  
Jack Black,intense therapy lip balm spf 25,$7.50,0.25 oz,2156 reviews,4.6929,Skin Care>Lip Balm & Treatments>,Black Tea & Blackberry|Grapefruit & Ginger|Lemon & Chamomile |Original |Shea Butter & Vitamin E
Josie Maran,argan enlightenment illuminizer,$26.00,0.5 oz,94 reviews,4.3085,Makeup>Face Makeup>Luminizer>,
MAKE UP FOR EVER,aquarelle,$21.00,0.33 oz,26 reviews,3.5,Makeup>Eye Makeup>Eyeliner>,1|10|11|15|19|2|21|3|6|7|8|9
Urban Decay,naked3,$54.00,,4178 reviews,4.5278,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,
Buxom,buxom customizable eyeshadow bar palette,$40.00,,69 reviews,4.6087,Makeup>Eye Makeup>Eyeshadow>,
Marc Jacobs Beauty,new nudes sheer lip gel,$30.00,0.12 oz,116 reviews,4.1466,Makeup>Lips>Lipstick>,Anais 146|Eat Cake 150|Have We Met? 108|Moody Margot 106|Role Play 110|Strange Magic 102|Understudy 114
Formula X,the three,$18.00,0.4 oz x 3,3 reviews,2.0,Makeup>Nails>Nail Kits>,Extraterresetrial/Opposites Attract/Galaxy|Nova/Loose Cannon/Aurora
Black Up,radiance concealer,$29.50,0.05 oz,not rated,0.0,Makeup>Eye Makeup>Under Eye Concealer>,NCOS 01|NCOS 02|NCOS 03|NCOS 04|NCOS 05
Tweezerman,mini brow rescue kit,$25.00,,14 reviews,4.8571,Tools & Brushes>Small Tools>Tweezers & Eyebrow Tools>,
Dior,diorskin nude tan healthy glow enhancing powder tye dye edition,$57.00,0.35 oz,10 reviews,4.3,Makeup>Face Makeup>Blush>,001 Pink Sunset|002 Coral Sunset
SEPHORA COLLECTION,classic must have angled liner brush 90,$14.00,,77 reviews,3.6364,Makeup>Eye Makeup>Eye Brushes>,
